phase,kernel_index,kernel,label,duration_ms,l2_bandwidth_GBps,math_TOPS,tensor_TOPS,scalar_TOPS,op_class,arithmetic_intensity_ops_per_byte_L2,active_peak_TOPS
ViT full128,95,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(flash::Flash_fwd_params)",void flash::flash_fwd_kernel<Fla,0.0936,173.596581,38.545300582732374,19.35832615384616,19.186974428886217,tensor,222.0395146073319,356.65867487179486
ViT full128,96,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.043712,453.615666,57.21206447527003,51.814699853587115,5.397364621682913,tensor,126.12453396896136,461.95743484626644
ViT full128,97,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,0.02432,124.246053,4.911157885240037,0.0,4.911157885240037,scalar,39.527677271486745,7.902254080000001
ViT full128,101,"void at::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, 0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",void at::<unnamed>::vectorized_l,0.031008,54.369453,47.92959761063851,0.0,47.92959761063851,scalar,881.5537947501239,7.71880448
ViT full128,102,nvjet_sm110_tst_144x128_64x8_1x2_2cta_h_bz_bias_TNN,nvjet_attention,0.090752,897.549013,93.00490816278209,84.23086036671367,8.774047796068427,tensor,103.62097981916236,432.3439210155148
ViT full128,103,"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,0.051424,109.505912,93.56931882181199,0.0,93.56931882181199,scalar,854.4681936607403,5.6805376
ViT full128,104,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.181632,417.099366,48.407272612838696,47.108329809725156,1.2989428031135397,tensor,116.0569316541198,391.9681127554616
ViT full128,105,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,0.023456,128.874488,5.092059997934549,0.0,5.092059997934549,scalar,39.51177674463039,8.80938496
ViT full128,109,"void at::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, 0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",void at::<unnamed>::vectorized_l,0.043104,39.362287,34.47942079412021,0.0,34.47942079412021,scalar,875.9506477385374,5.43913472
ViT full128,110,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.04912,402.209772,50.913146512277486,46.11001954397394,4.80312696830355,tensor,126.58356424089439,391.90181107491856
ViT full128,111,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.03792,526.470042,65.95078484617032,59.729012658227845,6.221772187942488,tensor,125.26977716648561,485.96015527426164
ViT full128,112,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.048256,410.748011,51.82472133963951,46.935596816976116,4.889124522663391,tensor,126.17156979888458,395.5254323607427
ViT full128,125,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(flash::Flash_fwd_params)",void flash::flash_fwd_kernel<Fla,0.096608,167.230209,37.34541698268719,18.75558264325936,18.58983433942783,tensor,223.31740901362616,345.4444836038423
ViT full128,126,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.037984,525.804549,65.83966293032108,59.62837405223252,6.21128887808856,tensor,125.2169899547999,510.4083572030329
ViT full128,127,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,0.020832,145.059908,5.733456247876032,0.0,5.733456247876032,scalar,39.52474758136502,9.425940480000001
LLM full128,10,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nn_align1>(T1::Params),void cutlass::Kernel2<cutlass_80,6.688,15.23445,3.3316744152838407,0.0,3.3316744152838407,scalar,218.69344907652334,12.971868159999998
LLM full128,12,"void at::vectorized_elementwise_kernel<4, at::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,9.984,23.564103,3.941730804176478,0.0,3.941730804176478,scalar,167.27692983588122,4.88456192
LLM full128,13,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,8.032,16.932271,0.27537847639501495,0.0,0.27537847639501495,scalar,16.263528760850505,8.653895680000002
LLM full128,14,"void at::vectorized_elementwise_kernel<4, at::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,11.776,19.880435,3.33033975396612,0.0,3.33033975396612,scalar,167.5184549013198,3.5253452800000007
LLM full128,15,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,12.192,11.12336,0.18141733857358297,0.0,0.18141733857358297,scalar,16.30958078975984,6.004746239999999
LLM full128,22,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,14.496,121.267108,2.38481232969972,0.0,2.38481232969972,scalar,19.665780515683778,6.96582656
LLM full128,23,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","void at::reduce_kernel<512, 1, a",25.504,75.737767,1.5321047781918569,0.0,1.5321047781918569,scalar,20.229072480996923,7.356467199999999
LLM full128,24,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,9.824,1.931596,0.01667756063148,0.0,0.01667756063148,scalar,8.63408323038565,2.9573427199999993
LLM full128,26,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",20.0,90.4384,1.7285119306512002,0.0,1.7285119306512002,scalar,19.112588575773124,10.7471872
LLM full128,29,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",19.456,53.731908,1.7768421475225489,0.0,1.7768421475225489,scalar,33.068659082840476,6.93068288
LLM full128,30,nvjet_sm110_tst_112x128_64x9_1x2_2cta_h_bz_TNN,nvjet_attention,77.44,346.109917,29.93972896534432,28.81417520661157,1.12555375873275,tensor,86.50352819952374,518.1968925619835
LLM full128,33,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,16.8,104.622857,2.057752337802477,0.0,2.057752337802477,scalar,19.668286613531087,6.271846399999999
LLM full128,34,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","void at::reduce_kernel<512, 1, a",19.232,100.46589,5.406655509312525,0.0,5.406655509312525,scalar,53.815832511039574,6.7473408
LLM full128,35,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,8.128,4.011811,0.08062988539490401,0.0,0.08062988539490401,scalar,20.09812660539193,3.4983936
LLM full128,37,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",21.632,85.156805,1.5981064579416948,0.0,1.5981064579416948,scalar,18.766632425226554,7.46845184
LLM full128,40,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",29.952,32.347222,1.154188029964032,0.0,1.154188029964032,scalar,35.68121027407027,4.54913024
LLM full128,41,nvjet_sm110_tst_112x128_64x9_1x2_2cta_h_bz_TNN,nvjet_attention,43.648,322.964809,27.957302124554204,26.90627565982405,1.051026464730152,tensor,86.56454618420734,446.3761642228739
LLM full128,44,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,12.736,70.223618,1.3571859388580398,0.0,1.3571859388580398,scalar,19.32663080472498,9.0160384
