name,start_ns,end_ns,duration_ms
VLA/action_head/DiT_step,544028712962101,544028714959968,1.997867
VLA/action_head/TensorRT_enqueue,544028716236457,544028717699437,1.46298
VLA/action_head/TensorRT,544028716031218,544028717741631,1.710413
VLA/action_head/DiT_step,544028715932727,544028717787326,1.854599
VLA/action_head/TensorRT_enqueue,544028719110093,544028721837987,2.727894
VLA/action_head/TensorRT,544028718906445,544028721892636,2.986191
VLA/action_head/DiT_step,544028718834547,544028721934775,3.100228
VLA/action_head/TensorRT_enqueue,544028723282810,544028734696323,11.413513
VLA/action_head/TensorRT,544028723107550,544028734753137,11.645587
VLA/action_head/DiT_step,544028723038652,544028734805563,11.766911
VLA/action_head/inference,544028712183047,544028735170451,22.987404
VLA/action_head,544028711714343,544028735244099,23.529756
VLA/ViT,544028857937748,544028881378707,23.440959
VLA/LLM,544028881896021,544028904901834,23.005813
VLA/backbone,544028857612118,544028905136314,47.524196
VLA/action_head/TensorRT_enqueue,544028910343281,544028912377555,2.034274
VLA/action_head/TensorRT,544028910005410,544028912452861,2.447451
VLA/action_head/DiT_step,544028909895947,544028912501685,2.605738
VLA/action_head/TensorRT_enqueue,544028914411191,544028916699512,2.288321
VLA/action_head/TensorRT,544028914053998,544028916771651,2.717653
VLA/action_head/DiT_step,544028913934989,544028916842688,2.907699
VLA/action_head/TensorRT_enqueue,544028918099371,544028919512204,1.412833
VLA/action_head/TensorRT,544028917923919,544028919576111,1.652192
VLA/action_head/DiT_step,544028917847622,544028919644480,1.796858
VLA/action_head/TensorRT_enqueue,544028921332673,544028930168162,8.835489
VLA/action_head/TensorRT,544028921091813,544028930248671,9.156858
VLA/action_head/DiT_step,544028920976479,544028930297199,9.32072
VLA/action_head/inference,544028908886329,544028930780263,21.893934
VLA/action_head,544028908346486,544028930953827,22.607341
VLA/ViT,544029005840599,544029032053592,26.212993
VLA/LLM,544029032446851,544029057415818,24.968967
VLA/backbone,544029005476414,544029057628457,52.152043
VLA/action_head/TensorRT_enqueue,544029063318041,544029065368771,2.05073
VLA/action_head/TensorRT,544029063042579,544029065446854,2.404275
VLA/action_head/DiT_step,544029062895663,544029065496789,2.601126
VLA/action_head/TensorRT_enqueue,544029068315693,544029070211811,1.896118
VLA/action_head/TensorRT,544029067885887,544029070263181,2.377294
VLA/action_head/DiT_step,544029067766407,544029070315218,2.548811
VLA/action_head/TensorRT_enqueue,544029071517633,544029073259733,1.7421
VLA/action_head/TensorRT,544029071331892,544029073413668,2.081776
VLA/action_head/DiT_step,544029071254809,544029073576547,2.321738
VLA/action_head/TensorRT_enqueue,544029075280082,544029083329507,8.049425
VLA/action_head/TensorRT,544029075040907,544029083421497,8.38059
VLA/action_head/DiT_step,544029074945110,544029083482219,8.537109
VLA/action_head/inference,544029061827978,544029083969071,22.141093
VLA/action_head,544029060967323,544029084139617,23.172294
VLA/ViT,544029161333339,544029189593829,28.26049
