mode,from_label,to_label,success,write_overhead_ms,feedback_ms,stable_ms,status_repr
cpu,972MHz,972MHz,1,0.624686,3.102567,16.238796,"{'policy0': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy10': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy12': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy2': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy4': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy6': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy8': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}}"
cpu,972MHz,1.242GHz,1,0.821185,10.228912,22.886622,"{'policy0': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy10': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy12': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy2': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy4': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy6': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy8': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}}"
cpu,972MHz,1.566GHz,1,0.691659,9.308746,22.30454,"{'policy0': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy10': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy12': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy2': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy4': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy6': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy8': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}}"
cpu,972MHz,1.836GHz,1,0.618149,1.393825,13.457868,"{'policy0': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy10': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy12': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy2': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy4': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy6': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy8': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}}"
cpu,972MHz,2.160GHz,1,0.690444,1.872538,14.041609,"{'policy0': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy10': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy12': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy2': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy4': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy6': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy8': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}}"
cpu,972MHz,2.430GHz,1,0.648862,2.310788,15.361211,"{'policy0': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy10': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy12': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy2': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy4': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy6': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy8': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}}"
cpu,972MHz,2.601GHz,1,0.72801,14.363488,27.482493,"{'policy0': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy10': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy12': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy2': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy4': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy6': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy8': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}}"
cpu,1.242GHz,default,1,1.180361,15.775979,43.152954,"{'policy0': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 324000}, 'policy10': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy12': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 432000}, 'policy2': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 108000}, 'policy4': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy6': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy8': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}}"
cpu,1.242GHz,648MHz,1,0.500658,10.359894,24.113344,"{'policy0': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy10': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy12': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy2': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy4': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy6': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy8': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}}"
cpu,1.242GHz,972MHz,1,0.91575,3.495288,17.950203,"{'policy0': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy10': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy12': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy2': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy4': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy6': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy8': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}}"
