axis,from_label,to_label,success,write_total_ms,per_write_sum_ms,write_op_count,feedback_ms,post_write_to_first_match_ms,stable_extra_ms,usable_stable_ms,poll_count,read_total_ms,read_mean_per_poll_ms,last_status_json
emc,665MHz,2.750GHz,1,19.648776,19.633387,4,23.899193,4.250417,4.792175,28.691368,2,7.972593,3.9862965,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 2750000000, ""state"": 1}"
emc,665MHz,3.200GHz,1,19.4371,19.418194,4,24.006535,4.569435,4.561564,28.568099,2,8.024129,4.0120645,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 3200000000, ""state"": 1}"
emc,665MHz,4.266GHz,1,19.172592,19.160602,4,23.250776,4.078184,5.165343,28.416119,2,7.728147,3.8640735,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 4266000000, ""state"": 1}"
emc,2.750GHz,665MHz,1,17.458517,17.445175,4,23.067378,5.608861,5.977204,29.044582,2,10.510991,5.2554955,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 665600000, ""state"": 1}"
emc,2.750GHz,3.200GHz,1,17.878988,17.869137000000002,4,22.059673,4.180685,4.730815,26.790488,2,7.845072999999999,3.9225364999999996,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 3200000000, ""state"": 1}"
emc,2.750GHz,4.266GHz,1,17.452757,17.429497,4,21.30972,3.856963,4.491869,25.801589,2,7.273953,3.6369765,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 4266000000, ""state"": 1}"
emc,3.200GHz,665MHz,1,14.921461,14.904979,4,17.130517,2.209056,2.660943,19.79146,2,3.787648,1.893824,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 665600000, ""state"": 1}"
emc,3.200GHz,2.750GHz,1,15.035072,15.021481,4,16.66072,1.625648,2.307361,18.968081,2,2.861638,1.430819,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 2750000000, ""state"": 1}"
emc,3.200GHz,4.266GHz,1,15.256925,15.246017,4,16.975489,1.718564,2.371898,19.347387,2,3.024101,1.5120505,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 4266000000, ""state"": 1}"
emc,4.266GHz,665MHz,1,15.27036,15.259490000000001,4,17.490192,2.219832,2.602454,20.092646,2,3.750478,1.875239,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 665600000, ""state"": 1}"
emc,4.266GHz,2.750GHz,1,15.132527,15.125038,4,16.935148,1.802621,2.347713,19.282861,2,3.081436,1.540718,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 2750000000, ""state"": 1}"
emc,4.266GHz,3.200GHz,1,17.292647,17.282924,4,21.276063,3.983416,4.56174,25.837803,2,7.476554,3.738277,"{""bwmgr_halt"": 1, ""mrq_rate_locked"": 1, ""rate_hz"": 3200000000, ""state"": 1}"
